ProjectName,ClassName,ReleaseID,LOC,numRevisions,numRevisionsFromBegin,numFixes,numFixesFromBegin,numAuthors,numAuthorsFromBegin,churn,churnFromBegin,maxLOCAdded,maxLOCAddedFromBegin,avgLOCAdded,avgLOCAddedFromBegin,avgChangeSet,avgChangeSetFromBegin,maxChangeSet,maxChangeSetFromBegin,age,weightedAge,numOps,avgTimeBetweenCommits,numSmells,isBuggy
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractMappingItem.java,1,182,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractNormalSchema.java,1,246,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,28,0.0,3,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/types/AbstractPolicySpec.java,1,28,4,1,1,0,3,1,59,29,29,29,11.5,29.0,687.75,1329.0,1329.0,1329.0,0,147.40677966101694,0,0.02197802197802198,0,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractPolicyTO.java,1,92,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/propagation/impl/AbstractPropagationTaskExecutor.java,1,510,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,10,0.0,2,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/report/AbstractReportlet.java,1,67,7,1,1,0,3,1,226,77,77,77,27.857142857142858,77.0,470.0,1329.0,1329.0,1329.0,0,146.1637168141593,4,0.10294117647058823,0,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/report/AbstractReportletConf.java,1,52,6,1,1,0,3,1,95,46,46,46,12.166666666666666,46.0,472.0,1329.0,1329.0,1329.0,0,139.14736842105262,4,0.08823529411764706,2,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/rest/controller/AbstractResourceAssociator.java,1,38,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,0.0,0,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/workflow/role/AbstractRoleWorkflowAdapter.java,1,64,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/AbstractSchedTaskModalPage.java,1,133,9,1,1,0,3,1,618,119,249,119,47.55555555555556,119.0,390.77777777777777,1329.0,1329.0,1329.0,0,199.1747572815534,2,0.05521472392638037,4,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSchema.java,1,29,36,2,1,0,4,2,1041,244,231,231,18.0,121.5,116.11111111111111,669.0,1329.0,1329.0,0,497.20749279538904,2,0.05389221556886228,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/AbstractSchemaModalPage.java,1,46,7,1,1,0,3,1,146,50,50,50,17.571428571428573,50.0,472.42857142857144,1329.0,1329.0,1329.0,0,242.32191780821918,3,0.02040816326530612,1,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractSchemaTO.java,1,46,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/dao/search/AbstractSearchCond.java,1,49,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchPanel.java,1,402,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,0.0,2,true
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSearchResultPanel.java,1,354,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,16,0.0,7,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/services/AbstractServiceImpl.java,1,228,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.0,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/commons/status/AbstractStatusBeanProvider.java,1,70,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5,0.0,1,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/AbstractStatusModalPage.java,1,31,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSubject.java,1,61,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/rest/controller/AbstractSubjectController.java,1,44,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/dao/impl/AbstractSubjectDAOImpl.java,1,336,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,5,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/mod/AbstractSubjectMod.java,1,57,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSubjectPushResultHandler.java,1,393,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,14,0.0,4,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/rest/AbstractSubjectRestClient.java,1,47,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,7,0.0,0,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSubjectSyncResultHandler.java,1,688,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,18,0.0,16,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractSubjectTO.java,1,69,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/sync/AbstractSyncActions.java,1,44,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSyncJob.java,1,417,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,6,0.0,2,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/sync/impl/AbstractSyncopeResultHandler.java,1,118,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSyncTask.java,1,156,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,17,0.0,1,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/AbstractSyncTaskCheck.java,1,42,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3,0.0,0,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/AbstractSyncTaskModalPage.java,1,210,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,4,false
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/panels/AbstractSyncTasksPanel.java,1,160,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4,0.0,1,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractSyncTaskTO.java,1,118,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,15,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/validation/entity/AbstractSyncTaskValidator.java,1,85,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2,0.0,3,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/persistence/beans/AbstractSysInfo.java,1,106,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,8,0.0,1,false
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractSysInfoTO.java,1,109,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,0.0,1,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/quartz/AbstractTaskJob.java,1,180,8,3,3,1,3,1,211,155,142,142,22.125,49.333333333333336,400.125,447.0,1329.0,1329.0,0,114.60189573459715,4,0.046242774566473986,0,true
SYNCOPE,console/src/main/java/org/apache/syncope/console/pages/panels/AbstractTasks.java,1,56,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,true
SYNCOPE,common/src/main/java/org/apache/syncope/common/to/AbstractTaskTO.java,1,101,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,9,0.0,1,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/rest/controller/AbstractTransactionalController.java,1,32,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0,true
SYNCOPE,core/src/main/java/org/apache/syncope/core/quartz/AbstractTransactionalTaskJob.java,1,36,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1,0.0,0,false
SYNCOPE,core/src/main/java/org/apache/syncope/core/workflow/user/AbstractUserWorkflowAdapter.java,1,146,12,1,2,0,4,1,338,110,110,110,23.25,110.0,288.5,1329.0,1329.0,1329.0,0,198.64201183431953,19,0.06629834254143646,0,true
