Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell,Tempo di Refactoring
47,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/FormPropertyDefsPanel.java,5.0.0,14,1274
48,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AjaxDataTablePanel.java,5.0.0,5,1265
49,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxNumberFieldPanel.java,5.0.0,31,1260
50,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmWizardBuilder.java,5.0.0,4,1260
51,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/wizards/OIDCProviderWizardBuilder.java,5.0.0,20,1234
52,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AbstractMultiPanel.java,5.0.0,8,1222
53,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/CommandComposeWizardBuilder.java,5.0.0,4,1200
54,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/BinaryFieldPanel.java,5.0.0,6,1190
55,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/role/RoleWizardBuilder.java,5.0.0,6,1188
56,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/SchemaTypeWizardBuilder.java,5.0.0,5,1175
57,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/AbstractAttrsWizardStep.java,5.0.0,21,1174
58,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/DerAttrs.java,5.0.0,7,1155
59,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/MappingPurposePanel.java,5.0.0,7,1150
60,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectListViewPanel.java,5.0.0,8,1142
61,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/DerAttrs.java,5.0.0,6,1090
62,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/SimpleListViewPanel.java,5.0.0,5,1085
63,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RelationshipTypesPanel.java,5.0.0,5,1036
64,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/ReconTaskPanel.java,5.0.0,15,1032
65,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/mapping/SCIMExtensionMappingPanel.java,5.0.0,12,999
66,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/EncryptedFieldPanel.java,5.0.0,4,990
67,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/EditSecurityQuestion.java,5.0.0,6,981
68,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizardMgtButtonBar.java,5.0.0,6,975
69,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmDirectoryPanel.java,5.0.0,8,972
70,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ImplementationDirectoryPanel.java,5.0.0,4,968
71,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ResourceDirectoryPanel.java,5.0.0,5,968
72,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/ActionPanel.java,5.0.0,8,965
73,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/DismissMfa.java,5.0.0,4,965
74,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/list/ConnConfPropertyListView.java,5.0.0,6,955
75,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountCredentialsPanel.java,5.0.0,5,953
76,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/ClientAppDirectoryPanel.java,5.0.0,6,948
77,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/MultiFieldPanel.java,5.0.0,5,940
78,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/widgets/JobActionPanel.java,5.0.0,5,938
79,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/policies/PolicyDirectoryPanel.java,5.0.0,5,937
80,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/StartAtTogglePanel.java,5.0.0,4,932
81,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxDropDownChoicePanel.java,5.0.0,4,930
82,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceProvisionPanel.java,5.0.0,4,930
83,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/SelfConfirmPasswordReset.java,5.0.0,3,930
84,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/ChangePasswordPanel.java,5.0.0,6,926
85,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARoutePredicatePanel.java,5.0.0,5,916
86,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/UserDetails.java,5.0.0,6,913
87,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARouteFilterPanel.java,5.0.0,4,908
88,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/AbstractAnyFormPanel.java,5.0.0,5,907
89,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/policies/PolicyModalPanelBuilder.java,5.0.0,8,907
90,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxGridBottomToolbar.java,5.0.0,6,903
91,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/BpmnProcessDirectoryPanel.java,5.0.0,4,902
92,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/Sidebar.java,5.0.0,9,894
93,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/audit/AuditHistoryDetails.java,5.0.0,11,886
94,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/DelegationWizardBuilder.java,5.0.0,8,855
95,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/commons/IdMAnyDirectoryPanelAdditionalActionsProvider.java,5.0.0,3,840
96,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/MacroTaskExecWizardBuilder.java,5.0.0,3,840
97,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRAStatisticsPanel.java,5.0.0,4,840
98,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/wizards/SAML2IdPWizardBuilder.java,5.0.0,6,836
99,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/SRARouteWizardBuilder.java,5.0.0,6,834
100,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/wizards/AttrRepoWizardBuilder.java,5.0.0,6,831
101,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BasePage.java,5.0.0,6,822
102,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjects.java,5.0.0,4,820
103,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/SchedTaskDirectoryPanel.java,5.0.0,8,774
104,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/MacroTaskDirectoryPanel.java,5.0.0,4,736
105,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/AnyPropagationTasks.java,5.0.0,2,720
106,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/LiveSyncTask.java,5.0.0,2,720
107,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PullTasks.java,5.0.0,2,720
108,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PushTasks.java,5.0.0,2,720
109,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/RealmPropagationTasks.java,5.0.0,2,720
110,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/UserRequestDirectoryPanel.java,5.0.0,4,708
111,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Engagements.java,5.0.0,2,690
112,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/LiveSyncTaskDirectoryPanel.java,5.0.0,2,690
113,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PropagationTasks.java,5.0.0,2,690
114,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizard.java,5.0.0,9,684
115,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/AMSessionDirectoryPanel.java,5.0.0,4,678
116,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/LogsPanel.java,5.0.0,5,673
117,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyTypeClassesPanel.java,5.0.0,3,672
118,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyTypesPanel.java,5.0.0,3,672
119,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/SyncopeFormPanel.java,5.0.0,7,664
120,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/ajax/markup/html/navigation/paging/AjaxDataNavigationToolbar.java,5.0.0,2,660
121,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Reports.java,5.0.0,2,660
122,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/TaskStartAtTogglePanel.java,5.0.0,2,660
123,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/BeanPanel.java,5.0.0,9,659
124,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/AbstractConnConfPanel.java,5.0.0,5,647
125,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/Details.java,5.0.0,5,647
126,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/UserDirectoryPanel.java,5.0.0,4,646
127,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ImplementationEngineTogglePanel.java,5.0.0,5,645
128,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnysPanel.java,5.0.0,5,637
129,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/MembersTogglePanel.java,5.0.0,4,637
130,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RoleDirectoryPanel.java,5.0.0,4,637
131,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DirectoryPanel.java,5.0.0,8,636
132,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Anys.java,5.0.0,3,635
133,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/ItemTransformersTogglePanel.java,5.0.0,3,635
134,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/AbstractMustChangePassword.java,5.0.0,3,632
135,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileWizardBuilder.java,5.0.0,6,632
136,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/NewBpmnProcess.java,5.0.0,3,632
137,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxPasswordFieldPanel.java,5.0.0,2,630
138,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyObjectDirectoryPanel.java,5.0.0,2,630
139,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnectorDirectoryPanel.java,5.0.0,3,630
140,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/ImportMetadata.java,5.0.0,2,630
141,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/JEXLTransformersTogglePanel.java,5.0.0,2,630
142,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/notifications/MailTemplateDirectoryPanel.java,5.0.0,2,630
143,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ObjectTypeTogglePanel.java,5.0.0,2,630
144,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportExecutionDetails.java,5.0.0,2,630
145,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceWizardBuilder.java,5.0.0,2,630
146,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/SaveFIQLQuery.java,5.0.0,2,630
