Data: 21/05/2026
Posizione,Progetto,Classe,Versione,Numero Smell
49,SYNCOPE,ext/scimv2/logic/src/main/java/org/apache/syncope/core/logic/SCIMLogic.java,5.0.0,13
50,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/TaskDataBinderImpl.java,5.0.0,13
51,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/TopologyWebSocketBehavior.java,5.0.0,13
52,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/AbstractSyncopeResultHandler.java,5.0.0,12
53,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/notification/DefaultNotificationManager.java,5.0.0,12
54,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/DefaultUserPullResultHandler.java,5.0.0,12
55,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/anyobject/Neo4jAnyObject.java,5.0.0,12
56,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/RemediationDirectoryPanel.java,5.0.0,12
57,SYNCOPE,ext/scimv2/scim-rest-api/src/main/java/org/apache/syncope/ext/scimv2/api/type/Resource.java,5.0.0,12
58,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceDetailsPanel.java,5.0.0,12
59,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/mapping/SCIMExtensionMappingPanel.java,5.0.0,12
60,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/topology/Topology.java,5.0.0,12
61,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/WizardMgtPanel.java,5.0.0,12
62,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/AbstractPushResultHandler.java,5.0.0,11
63,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxGrid.java,5.0.0,11
64,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/repo/AnyObjectRepoExtImpl.java,5.0.0,11
65,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/audit/AuditHistoryDetails.java,5.0.0,11
66,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/wizards/AuthModuleWizardBuilder.java,5.0.0,11
67,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseLogin.java,5.0.0,11
68,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/InboundMatcher.java,5.0.0,11
69,SYNCOPE,core/metrics-starter/src/main/java/org/apache/syncope/core/spring/security/InstrumentedAuthDataAccessor.java,5.0.0,11
70,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/JPAPolicyDAO.java,5.0.0,11
71,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountPlainAttrsPanel.java,5.0.0,11
72,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/Management.java,5.0.0,11
73,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfUserPanel.java,5.0.0,11
74,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/AbstractAttrs.java,5.0.0,10
75,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/AbstractAttrs.java,5.0.0,10
76,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/init/ClassPathScanImplementationLookup.java,5.0.0,10
77,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/ClientAppModalPanelBuilder.java,5.0.0,10
78,SYNCOPE,ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchIndexManager.java,5.0.0,10
79,SYNCOPE,ext/elasticsearch/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/ElasticsearchReindex.java,5.0.0,10
80,SYNCOPE,ext/scimv2/scim-rest-api/src/main/java/org/apache/syncope/ext/scimv2/api/type/ErrorType.java,5.0.0,10
81,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/MacroJobDelegate.java,5.0.0,10
82,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/group/Neo4jGroup.java,5.0.0,10
83,SYNCOPE,ext/opensearch/client-opensearch/src/main/java/org/apache/syncope/ext/opensearch/client/OpenSearchIndexManager.java,5.0.0,10
84,SYNCOPE,ext/opensearch/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/OpenSearchReindex.java,5.0.0,10
85,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/PGJPAAnySearchDAO.java,5.0.0,10
86,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/PGJPARealmSearchDAO.java,5.0.0,10
87,SYNCOPE,ext/scimv2/scim-rest-cxf/src/main/java/org/apache/syncope/ext/scimv2/cxf/SCIMExceptionMapper.java,5.0.0,10
88,SYNCOPE,ext/scimv2/logic/src/main/java/org/apache/syncope/core/logic/scim/SearchCondVisitor.java,5.0.0,10
89,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/AbstractRealmResultHandler.java,5.0.0,9
90,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/extensions/markup/html/repeater/data/table/AjaxFallbackDataTable.java,5.0.0,9
91,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxPalettePanel.java,5.0.0,9
92,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxSearchFieldPanel.java,5.0.0,9
93,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizard.java,5.0.0,9
94,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/AnyDataBinder.java,5.0.0,9
95,SYNCOPE,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/types/AttrSchemaType.java,5.0.0,9
96,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/AuthPolicyModalPanel.java,5.0.0,9
97,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/BeanPanel.java,5.0.0,9
98,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/content/ContentLoaderHandler.java,5.0.0,9
99,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/DefaultRealmPushResultHandler.java,5.0.0,9
100,SYNCOPE,core/starter/src/main/java/org/apache/syncope/core/starter/actuate/DefaultSyncopeCoreInfoContributor.java,5.0.0,9
101,SYNCOPE,ext/elasticsearch/persistence/src/main/java/org/apache/syncope/core/persistence/elasticsearch/dao/ElasticsearchAnySearchDAO.java,5.0.0,9
102,SYNCOPE,ext/elasticsearch/persistence/src/main/java/org/apache/syncope/core/persistence/elasticsearch/dao/ElasticsearchRealmSearchDAO.java,5.0.0,9
103,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jMacroTask.java,5.0.0,9
104,SYNCOPE,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/entity/PlainAttrValue.java,5.0.0,9
105,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportWizardBuilder.java,5.0.0,9
106,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/ResourceDataBinderImpl.java,5.0.0,9
107,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/SelfPasswordReset.java,5.0.0,9
108,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/Sidebar.java,5.0.0,9
109,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/repo/UserRepoExtImpl.java,5.0.0,9
110,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/repo/UserRepoExtImpl.java,5.0.0,9
111,SYNCOPE,common/am/lib/src/main/java/org/apache/syncope/common/lib/types/XmlSecAlgorithm.java,5.0.0,9
112,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AbstractMultiPanel.java,5.0.0,8
113,SYNCOPE,core/workflow-java/src/main/java/org/apache/syncope/core/workflow/java/AbstractUserWorkflowAdapter.java,5.0.0,8
114,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/ActionPanel.java,5.0.0,8
115,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyDirectoryPanel.java,5.0.0,8
116,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/repo/AnyObjectRepoExtImpl.java,5.0.0,8
117,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/policies/AttrReleasePolicyModalPanel.java,5.0.0,8
118,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/batch/BatchContent.java,5.0.0,8
119,SYNCOPE,core/am/logic/src/main/java/org/apache/syncope/core/logic/ClientAppLogic.java,5.0.0,8
120,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/ConnObjectListViewPanel.java,5.0.0,8
121,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/panels/CSVConfPanel.java,5.0.0,8
122,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/DelegationWizardBuilder.java,5.0.0,8
123,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/DirectoryPanel.java,5.0.0,8
124,SYNCOPE,common/idrepo/lib/src/main/java/org/apache/syncope/common/lib/form/FormPropertyType.java,5.0.0,8
125,SYNCOPE,ext/scimv2/common-lib/src/main/java/org/apache/syncope/common/lib/scim/types/IMCanonicalType.java,5.0.0,8
126,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/task/JPAFormPropertyDef.java,5.0.0,8
127,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/Neo4jRealm.java,5.0.0,8
128,SYNCOPE,common/am/lib/src/main/java/org/apache/syncope/common/lib/types/OIDCGrantType.java,5.0.0,8
129,SYNCOPE,common/am/lib/src/main/java/org/apache/syncope/common/lib/OIDCStandardScope.java,5.0.0,8
130,SYNCOPE,ext/openfga/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/OpenFGAReinit.java,5.0.0,8
131,SYNCOPE,ext/opensearch/persistence/src/main/java/org/apache/syncope/core/persistence/opensearch/dao/OpenSearchAnySearchDAO.java,5.0.0,8
132,SYNCOPE,ext/opensearch/persistence/src/main/java/org/apache/syncope/core/persistence/opensearch/dao/OpenSearchRealmSearchDAO.java,5.0.0,8
133,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/policies/PolicyModalPanelBuilder.java,5.0.0,8
134,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/PropagationTaskDirectoryPanel.java,5.0.0,8
135,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ProvisionWizardBuilder.java,5.0.0,8
136,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/RealmDirectoryPanel.java,5.0.0,8
137,SYNCOPE,core/idm/logic/src/main/java/org/apache/syncope/core/logic/RemediationLogic.java,5.0.0,8
138,SYNCOPE,ext/saml2sp4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/SAML2IdPsDirectoryPanel.java,5.0.0,8
139,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/tasks/SchedTaskDirectoryPanel.java,5.0.0,8
140,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/UserDataBinderImpl.java,5.0.0,8
141,SYNCOPE,ext/flowable/client-console/src/main/java/org/apache/syncope/client/console/panels/UserRequestFormDirectoryPanel.java,5.0.0,8
142,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/content/XMLContentExporter.java,5.0.0,8
143,SYNCOPE,core/idrepo/rest-cxf/src/main/java/org/apache/syncope/core/rest/cxf/service/AbstractAnyService.java,5.0.0,7
144,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/report/AbstractReportJobDelegate.java,5.0.0,7
145,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/AbstractSchedTaskJobDelegate.java,5.0.0,7
146,SYNCOPE,ext/scimv2/scim-rest-cxf/src/main/java/org/apache/syncope/ext/scimv2/cxf/service/AbstractSCIMService.java,5.0.0,7
147,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/search/AbstractSearchPanel.java,5.0.0,7
148,SYNCOPE,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/dao/AnyChecker.java,5.0.0,7
149,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/AnyPanel.java,5.0.0,7
150,SYNCOPE,core/spring/src/main/java/org/apache/syncope/core/spring/security/AuthDataAccessor.java,5.0.0,7
151,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/pages/BaseMfaEnroll.java,5.0.0,7
152,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/bootstrap/dialog/BaseModal.java,5.0.0,7
153,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/CSVPushWizardBuilder.java,5.0.0,7
154,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/any/DerAttrs.java,5.0.0,7
155,SYNCOPE,ext/elasticsearch/client-elasticsearch/src/main/java/org/apache/syncope/ext/elasticsearch/client/ElasticsearchUtils.java,5.0.0,7
156,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/GroupDataBinderImpl.java,5.0.0,7
157,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/GroupDirectoryPanel.java,5.0.0,7
158,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/any/LinkedAccountDetailsPanel.java,5.0.0,7
159,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wizards/mapping/MappingPurposePanel.java,5.0.0,7
160,SYNCOPE,ext/opensearch/client-opensearch/src/main/java/org/apache/syncope/ext/opensearch/client/OpenSearchUtils.java,5.0.0,7
161,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ParametersModalPanel.java,5.0.0,7
162,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/pages/Realms.java,5.0.0,7
163,SYNCOPE,core/idm/logic/src/main/java/org/apache/syncope/core/logic/ReconciliationLogic.java,5.0.0,7
164,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/SAML2SPDirectoryPanel.java,5.0.0,7
165,SYNCOPE,ext/scimv2/client-console/src/main/java/org/apache/syncope/client/console/panels/SCIMConfEnterpriseUserPanel.java,5.0.0,7
166,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/SyncopeConsoleSession.java,5.0.0,7
167,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/panels/SyncopeFormPanel.java,5.0.0,7
168,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/SyncopeWebApplication.java,5.0.0,7
169,SYNCOPE,core/persistence-common/src/main/java/org/apache/syncope/core/persistence/common/dao/AbstractAnySearchDAO.java,5.0.0,6
170,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/panels/ActionDataTablePanel.java,5.0.0,6
171,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/form/AjaxCharacterFieldPanel.java,5.0.0,6
172,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/AjaxGridBottomToolbar.java,5.0.0,6
173,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/wizards/AjaxWizardMgtButtonBar.java,5.0.0,6
174,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/status/AnyStatusDirectoryPanel.java,5.0.0,6
175,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/repo/AnyTypeRepoExtImpl.java,5.0.0,6
176,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/data/AttributableDataBinder.java,5.0.0,6
177,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/wizards/AttrRepoWizardBuilder.java,5.0.0,6
178,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/authprofiles/AuthProfileWizardBuilder.java,5.0.0,6
179,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/BasePage.java,5.0.0,6
180,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/BinaryFieldPanel.java,5.0.0,6
181,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/ChangePasswordPanel.java,5.0.0,6
182,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/clientapps/ClientAppDirectoryPanel.java,5.0.0,6
183,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wicket/markup/html/list/ConnConfPropertyListView.java,5.0.0,6
184,SYNCOPE,core/persistence-common/src/main/java/org/apache/syncope/core/persistence/common/entity/DefaultAnyUtils.java,5.0.0,6
185,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/propagation/DefaultPropagationManager.java,5.0.0,6
186,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/DefaultUserPushResultHandler.java,5.0.0,6
187,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/panels/any/DerAttrs.java,5.0.0,6
188,SYNCOPE,client/idrepo/enduser/src/main/java/org/apache/syncope/client/enduser/pages/EditSecurityQuestion.java,5.0.0,6
189,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/events/EventSelectionPanel.java,5.0.0,6
190,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/dao/repo/ExternalResourceRepoExtImpl.java,5.0.0,6
191,SYNCOPE,client/idrepo/common-ui/src/main/java/org/apache/syncope/client/ui/commons/markup/html/form/FieldPanel.java,5.0.0,6
192,SYNCOPE,core/persistence-api/src/main/java/org/apache/syncope/core/persistence/api/search/FilterVisitor.java,5.0.0,6
193,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/job/GroupMemberProvisionTaskJobDelegate.java,5.0.0,6
194,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/entity/anyobject/JPAAnyObject.java,5.0.0,6
195,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jFormPropertyDef.java,5.0.0,6
196,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jLiveSyncTask.java,5.0.0,6
197,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jPullTask.java,5.0.0,6
198,SYNCOPE,core/persistence-neo4j/src/main/java/org/apache/syncope/core/persistence/neo4j/entity/task/Neo4jPushTask.java,5.0.0,6
199,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/notifications/NotificationDirectoryPanel.java,5.0.0,6
200,SYNCOPE,client/am/console/src/main/java/org/apache/syncope/client/console/panels/OIDC.java,5.0.0,6
201,SYNCOPE,ext/oidcc4ui/client-console/src/main/java/org/apache/syncope/client/console/panels/OIDCProvidersDirectoryPanel.java,5.0.0,6
202,SYNCOPE,core/persistence-jpa/src/main/java/org/apache/syncope/core/persistence/jpa/dao/OracleJPARealmSearchDAO.java,5.0.0,6
203,SYNCOPE,ext/scimv2/common-lib/src/main/java/org/apache/syncope/common/lib/scim/types/PhoneNumberCanonicalType.java,5.0.0,6
204,SYNCOPE,core/idrepo/logic/src/main/java/org/apache/syncope/core/logic/PolicyLogic.java,5.0.0,6
205,SYNCOPE,core/provisioning-api/src/main/java/org/apache/syncope/core/provisioning/api/PropagationByResource.java,5.0.0,6
206,SYNCOPE,core/provisioning-java/src/main/java/org/apache/syncope/core/provisioning/java/pushpull/PushJobDelegate.java,5.0.0,6
207,SYNCOPE,client/idrepo/console/src/main/java/org/apache/syncope/client/console/reports/ReportDirectoryPanel.java,5.0.0,6
208,SYNCOPE,client/idm/console/src/main/java/org/apache/syncope/client/console/wizards/resources/ResourceSecurityPanel.java,5.0.0,6
