Cut,Selection,Balancing,Validation,Classifier,Accuracy,Precision,Recall,AUC,Kappa,TP,FP,TN,FN
NO,NO,NO,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.739,0.064,0.510,0.720,0.059,50,734,2159,48
NO,NO,NO,ORDERED_HOLDOUT_80_20,IBK,0.955,0.309,0.296,0.709,0.279,29,65,2828,69
NO,NO,UNDERSAMPLING,TEN_T_TEN_F,RANDOM_FOREST,0.765,0.229,0.837,0.884,0.270,9870,33163,104597,1920
NO,NO,UNDERSAMPLING,TEN_T_TEN_F,NAIVE_BAYES,0.711,0.172,0.702,0.765,0.172,8272,39724,98036,3518
NO,NO,UNDERSAMPLING,TEN_T_TEN_F,IBK,0.732,0.200,0.800,0.763,0.222,9437,37729,100031,2353
NO,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.769,0.095,0.714,0.831,0.117,70,663,2230,28
NO,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.777,0.068,0.459,0.689,0.066,45,613,2280,53
NO,NO,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,IBK,0.760,0.090,0.694,0.731,0.107,68,689,2204,30
NO,NO,SMOTE,TEN_T_TEN_F,RANDOM_FOREST,0.943,0.675,0.535,0.912,0.566,6305,3038,134722,5485
NO,NO,SMOTE,TEN_T_TEN_F,NAIVE_BAYES,0.781,0.204,0.610,0.772,0.212,7191,28143,109617,4599
NO,NO,SMOTE,TEN_T_TEN_F,IBK,0.912,0.448,0.495,0.722,0.422,5831,7187,130573,5959
NO,NO,SMOTE,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.959,0.378,0.378,0.852,0.356,37,61,2832,61
NO,NO,SMOTE,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.819,0.073,0.388,0.688,0.072,38,480,2413,60
NO,NO,SMOTE,ORDERED_HOLDOUT_80_20,IBK,0.924,0.200,0.439,0.691,0.241,43,172,2721,55
NO,FILTER,NO,TEN_T_TEN_F,RANDOM_FOREST,0.938,0.633,0.520,0.886,0.538,6129,3558,134202,5661
NO,FILTER,NO,TEN_T_TEN_F,NAIVE_BAYES,0.850,0.251,0.459,0.787,0.248,5409,16107,121653,6381
NO,FILTER,NO,TEN_T_TEN_F,IBK,0.914,0.459,0.483,0.725,0.425,5698,6704,131056,6092
NO,FILTER,NO,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.960,0.388,0.408,0.846,0.377,40,63,2830,58
NO,FILTER,NO,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.819,0.096,0.541,0.747,0.114,53,497,2396,45
NO,FILTER,NO,ORDERED_HOLDOUT_80_20,IBK,0.940,0.256,0.429,0.694,0.292,42,122,2771,56
NO,FILTER,UNDERSAMPLING,TEN_T_TEN_F,RANDOM_FOREST,0.747,0.213,0.822,0.856,0.244,9694,35783,101977,2096
NO,FILTER,UNDERSAMPLING,TEN_T_TEN_F,NAIVE_BAYES,0.736,0.188,0.707,0.784,0.197,8334,36045,101715,3456
NO,FILTER,UNDERSAMPLING,TEN_T_TEN_F,IBK,0.725,0.196,0.801,0.760,0.215,9443,38850,98910,2347
NO,FILTER,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.734,0.086,0.745,0.817,0.102,73,772,2121,25
NO,FILTER,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.729,0.075,0.643,0.746,0.081,63,775,2118,35
NO,FILTER,UNDERSAMPLING,ORDERED_HOLDOUT_80_20,IBK,0.680,0.069,0.704,0.694,0.071,69,928,1965,29
NO,FILTER,SMOTE,TEN_T_TEN_F,RANDOM_FOREST,0.936,0.607,0.537,0.883,0.535,6335,4108,133652,5455
NO,FILTER,SMOTE,TEN_T_TEN_F,NAIVE_BAYES,0.831,0.241,0.528,0.791,0.249,6222,19646,118114,5568
NO,FILTER,SMOTE,TEN_T_TEN_F,IBK,0.913,0.451,0.492,0.728,0.424,5803,7051,130709,5987
NO,FILTER,SMOTE,ORDERED_HOLDOUT_80_20,RANDOM_FOREST,0.953,0.328,0.408,0.843,0.340,40,82,2811,58
NO,FILTER,SMOTE,ORDERED_HOLDOUT_80_20,NAIVE_BAYES,0.800,0.089,0.551,0.750,0.103,54,553,2340,44
NO,FILTER,SMOTE,ORDERED_HOLDOUT_80_20,IBK,0.934,0.228,0.429,0.691,0.267,42,142,2751,56
